nct_id,historical_first_results_label_version,first_results_attempt_version,first_results_posted_version,pre_episode_posted_version,results_episode_id,first_results_date,first_results_date_source,first_results_history_version_date,first_results_attempt_pcd,first_results_attempt_pcd_type,first_results_pcd,first_results_pcd_type,pre_first_results_pcd,pre_first_results_pcd_type,current_pcd,current_pcd_type,history_versions,posted_history_versions,review_not_passed_versions,pair_id,group
NCT04144517,12,12,13,11,NCT04144517:v12-v13,2024-08-09,resultsFirstSubmitDate,2024-08-09,2021-10-08,ACTUAL,2021-10-08,ACTUAL,2021-10-08,ACTUAL,2021-10-08,ACTUAL,14,13,1,13,fda_proxy
NCT03711188,5,5,5,4,NCT03711188:v5-v5,2023-01-18,resultsFirstSubmitDate,2023-11-21,2021-12-02,ACTUAL,2021-12-02,ACTUAL,2021-12-02,ACTUAL,2021-12-02,ACTUAL,6,6,0,13,nonfda_control
NCT03996148,1,1,3,0,NCT03996148:v1-v3,2022-01-07,resultsFirstSubmitDate,2022-01-07,2018-09-19,ACTUAL,2018-09-19,ACTUAL,2018-09-19,ACTUAL,2018-09-19,ACTUAL,4,2,2,14,fda_proxy
NCT03006471,11,11,11,10,NCT03006471:v11-v11,2020-08-27,resultsFirstSubmitDate,2020-09-19,2018-03-30,ACTUAL,2018-03-30,ACTUAL,2018-03-30,ACTUAL,2018-03-30,ACTUAL,13,13,0,14,nonfda_control
NCT05116241,9,9,13,8,NCT05116241:v9-v13,2025-05-15,resultsFirstSubmitDate,2025-05-15,2024-05-15,ACTUAL,2024-05-15,ACTUAL,2024-05-15,ACTUAL,2024-05-15,ACTUAL,14,10,4,15,fda_proxy
NCT06077656,6,6,6,5,NCT06077656:v6-v6,2025-08-26,resultsFirstSubmitDate,2026-02-23,2024-05-24,ACTUAL,2024-05-24,ACTUAL,2024-05-24,ESTIMATED,2024-05-24,ACTUAL,7,7,0,15,nonfda_control
NCT03512301,8,8,11,7,NCT03512301:v8-v11,2025-02-14,resultsFirstSubmitDate,2025-02-14,2023-05-31,ACTUAL,2023-05-31,ACTUAL,2023-05-31,ACTUAL,2023-05-31,ACTUAL,12,9,3,16,fda_proxy
NCT04969822,5,5,5,4,NCT04969822:v5-v5,2024-10-03,resultsFirstSubmitDate,2024-11-25,2023-01-24,ACTUAL,2023-01-24,ACTUAL,2023-01-24,ACTUAL,2023-01-24,ACTUAL,6,6,0,16,nonfda_control
NCT05298774,6,6,7,5,NCT05298774:v6-v7,2025-07-03,resultsFirstSubmitDate,2025-07-03,2024-09-01,ACTUAL,2024-09-01,ACTUAL,2024-09-01,ACTUAL,2024-09-01,ACTUAL,8,7,1,17,fda_proxy
NCT06495775,2,2,2,1,NCT06495775:v2-v2,2025-12-09,resultsFirstSubmitDate,2026-01-29,2024-07-02,ACTUAL,2024-07-02,ACTUAL,2024-07-02,ACTUAL,2024-07-02,ACTUAL,3,3,0,17,nonfda_control
NCT04649177,4,4,5,3,NCT04649177:v4-v5,2023-05-15,resultsFirstSubmitDate,2023-05-15,2022-03-23,ACTUAL,2022-03-23,ACTUAL,2022-03-23,ACTUAL,2022-03-23,ACTUAL,6,5,1,18,fda_proxy
NCT05330234,2,2,2,1,NCT05330234:v2-v2,2023-03-31,resultsFirstSubmitDate,2023-03-31,2022-06-30,ACTUAL,2022-06-30,ACTUAL,2022-06-30,ACTUAL,2022-06-30,ACTUAL,5,5,0,18,nonfda_control
NCT02899962,35,35,36,34,NCT02899962:v35-v36,2020-07-10,resultsFirstSubmitDate,2020-07-10,2019-06-26,ACTUAL,2019-06-26,ACTUAL,2019-06-26,ACTUAL,2019-06-26,ACTUAL,37,36,1,19,fda_proxy
NCT04633564,1,1,1,0,NCT04633564:v1-v1,2021-01-11,resultsFirstSubmitDate,2021-01-11,2019-06-05,ACTUAL,2019-06-05,ACTUAL,2019-06-05,ACTUAL,2019-06-05,ACTUAL,3,3,0,19,nonfda_control
NCT05480111,2,2,3,1,NCT05480111:v2-v3,2024-02-24,resultsFirstSubmitDate,2024-02-24,2023-02-24,ACTUAL,2023-02-24,ACTUAL,2023-02-23,ACTUAL,2023-02-24,ACTUAL,4,3,1,20,fda_proxy
NCT05807945,1,1,1,0,NCT05807945:v1-v1,2023-10-15,resultsFirstSubmitDate,2024-10-10,2023-02-01,ACTUAL,2023-02-01,ACTUAL,2023-02-01,ACTUAL,2023-02-01,ACTUAL,2,2,0,20,nonfda_control
NCT03051256,7,7,10,6,NCT03051256:v7-v10,2020-09-09,resultsFirstSubmitDate,2020-09-21,2019-07-30,ACTUAL,2019-07-30,ACTUAL,2019-07-29,ACTUAL,2019-07-30,ACTUAL,12,9,3,21,fda_proxy
NCT03645421,5,5,5,4,NCT03645421:v5-v5,2019-12-05,resultsFirstSubmitDate,2019-12-05,2019-01-17,ACTUAL,2019-01-17,ACTUAL,2019-01-17,ACTUAL,2019-01-17,ACTUAL,6,6,0,21,nonfda_control
NCT03528551,85,85,87,84,NCT03528551:v85-v87,2021-07-22,resultsFirstSubmitDate,2021-07-22,2020-12-03,ACTUAL,2020-12-03,ACTUAL,2020-12-03,ACTUAL,2020-12-03,ACTUAL,90,88,2,22,fda_proxy
NCT03696108,30,30,30,29,NCT03696108:v30-v30,2021-09-30,resultsFirstSubmitDate,2021-09-30,2020-10-07,ACTUAL,2020-10-07,ACTUAL,2020-10-07,ACTUAL,2020-10-07,ACTUAL,31,31,0,22,nonfda_control
NCT03030989,6,6,6,5,NCT03030989:v6-v6,2020-09-30,resultsFirstSubmitDate,2020-11-16,2019-01-02,ACTUAL,2019-01-02,ACTUAL,2019-01-02,ACTUAL,2019-01-02,ACTUAL,7,7,0,23,fda_proxy
NCT03190694,4,4,4,3,NCT03190694:v4-v4,2022-11-14,resultsFirstSubmitDate,2024-01-04,2019-11-01,ACTUAL,2019-11-01,ACTUAL,2019-11-01,ESTIMATED,2019-11-01,ACTUAL,5,5,0,23,nonfda_control
NCT04593940,31,31,33,30,NCT04593940:v31-v33,2023-01-23,resultsFirstSubmitDate,2023-01-23,2022-01-30,ACTUAL,2022-01-30,ACTUAL,2022-01-30,ACTUAL,2022-01-30,ACTUAL,35,33,2,24,fda_proxy
NCT03614494,6,6,6,5,NCT03614494:v6-v6,2023-01-07,resultsFirstSubmitDate,2023-11-28,2022-10-05,ACTUAL,2022-10-05,ACTUAL,2022-10-05,ACTUAL,2022-10-05,ACTUAL,7,7,0,24,nonfda_control
NCT00411632,23,23,23,22,NCT00411632:v23-v23,2019-09-03,resultsFirstSubmitDate,2020-01-10,2018-02-23,ACTUAL,2018-02-23,ACTUAL,2018-02-23,ACTUAL,2018-02-23,ACTUAL,25,25,0,25,fda_proxy
NCT03222856,8,8,8,7,NCT03222856:v8-v8,2024-09-09,resultsFirstSubmitDate,2025-01-28,2018-10-31,ACTUAL,2018-10-31,ACTUAL,2018-10-31,ACTUAL,2018-10-31,ACTUAL,10,10,0,25,nonfda_control
